"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,002KWANIA COUNTY,01ADUKU,01ADYEDA,04 ADYEDA IMALO
"",,,,,06 ANYWAL
"",,,,,07 APOR- WEGI 'A'
"",,,,,08 APOR-WEGI 'B'
"",,,,,09 ATAKARA
"",,,,02ALIRA,01 AKOT 'A'
"",,,,,02 AKOT 'B'
"",,,,,03 AKWODONG 'A'
"",,,,,04 AKWODONG 'B'
"",,,,,05 AKWOYO
"",,,,,06 ALIRA 'A'
"",,,,,07 ALIRA 'B'
"",,,,,08 BUNG 'A'
"",,,,,09 BUNG 'B
"",,,,,10 BUNG 'C'
"",,,,,11 BUNG 'D'
"",,,,,12 EGUM
"",,,,,13 ELING
"",,,,,14 OGILI
"",,,,,15 OLEKE
"",,,,07ONGOCENG,01 ABALOKWERI
"",,,,,02 ABEIGBUTI
"",,,,,03 ABONONYEKO
"",,,,,04 ACULA
"",,,,,06 AKUNI
"",,,,,07 AKWON
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,002KWANIA COUNTY,01ADUKU,07ONGOCENG,09 AMWAK
"",,,,,10 ANGINYI
"",,,,,11 AWANGA
"",,,,,14 OGUNGU
"",,,,,17 OLWER
"",,,,08ABOKO,01 ACANDEK
"",,,,,02 AGONG
"",,,,,03 ALEBE
"",,,,,04 ALYET
"",,,,,05 AMIA 'A'
"",,,,,06 AMIA 'B'
"",,,,,07 AMULI
"",,,,,08 AORA
"",,,,,09 ARUMA
"",,,,,10 ODEO-BUNG
"",,,,,11 ODEO-CORNER
"",,,,,12 OLANYOTAI
"",,,,,13 OLIL
"",,,,,14 WIGWENG
"",,,,25APIRE,01 ACUT
"",,,,,02 ALONG-OMULA
"",,,,,03 ANGOLENYANG
"",,,,,04 APIRE A
"",,,,,05 APIRE CENTRE
"",,,,,06 BUNG- APIRE
"",,,,,07 GWERI
District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
01APAC,002KWANIA COUNTY,01ADUKU,25APIRE,09 OCWALI
"",,,,10 OKWAINYWAGI
"",,,,11 TE-OPOK
"",,02CAWENTE,16ATONGTIDI,01 ABUTI
"",,,,02 ACANANUMU
"",,,,03 ADAGANI
"",,,,04 ADWONG OWIRI
"",,,,05 AGOLOWELO
"",,,,06 AKAIDEBE
"",,,,07 ALEMO
"",,,,08 AMWANGA
"",,,,09 ANAMORINGO
"",,,,10 ANYWARGIKI
"",,,,11 BARADU
"",,,,12 BARMOGO
"",,,,13 BAROPOK
"",,,,14 BUNGKULE
"",,,,15 IWAL
"",,,,16 TE-ILWA
"",,,,17 WIGWENG
"",,,,18 BAROPOBO
"",,,,19 AYEI
"",,,17ACENLWORO,01 ADAKINGO
"",,,,02 AKONGOMIT
"",,,,03 APWORI
"",,,,04 AWEI
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,002KWANIA COUNTY,02CAWENTE,17ACENLWORO,06 BAR-ORYANG
"",,,,,07 GOI
"",,,,,08 OMULE
"",,,,,09 OYIKOWANGE
"",,,,,10 WI GWENG 'B'
"",,,,,11 WIGWENG 'A'
"",,,,18ATULE,01 ABAPIRI
"",,,,,02 ABEI
"",,,,,03 AGWA 'A'
"",,,,,04 AGWA 'B'
"",,,,,05 AKUKURU
"",,,,,06 ANGAYIKI
"",,,,,07 ATULE
"",,,,,08 AWARA
"",,,,,09 OMAC
"",,,,19ALIDO,01 ABOLI
"",,,,,02 ADOGRAO
"",,,,,03 AGADI
"",,,,,04 AGURI
"",,,,,05 AGWICIRI
"",,,,,06 ALIDO
"",,,,,07 AOLE
"",,,,,08 ARWENY
"",,,,,09 ENGORO
"",,,,,10 OKWIR
"",,,,28AJAR,01 ABWONG
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,002KWANIA COUNTY,02CAWENTE,28AJAR,03 APOLIKA
"",,,,,04 ARIDO
"",,,,,05 AWILA
"",,,,,06 IMENG
"",,,,,07 OBOLOCANI
"",,,,,08 OKOMO
"",,,,,09 OLELPEK
"",,,,,10 TE-OPOK
"",,,03INOMO,20BANYA,01 ACANKUMI 'A'
"",,,,,02 ACANKUMI 'B'
"",,,,,03 AJOBO
"",,,,,04 AKOREMOR
"",,,,,05 AKUTOABWOLE
"",,,,,06 AKWIA-WORO
"",,,,,07 ARINGOKEC
"",,,,,08 AWIRITOYO
